1890 1890
1 674 44
2 511 1273
3 630 913
4 924 1803
5 1096 1648
6 1372 1790
7 129 554
8 593 761
9 1839 458
10 727 837
11 177 303
12 673 1059
13 1257 483
14 1236 1296
15 610 1186
16 1551 1818
17 1785 771
18 528 642
19 69 1184
20 1095 1844
21 1376 904
22 58 307
23 843 213
24 1143 952
25 1676 1035
26 463 740
27 848 357
28 474 853
29 734 1710
30 1551 693
31 334 1418
32 66 822
33 1190 120
34 231 486
35 109 1728
36 450 475
37 428 1273
38 1194 1277
39 782 687
40 41 485
41 1336 409
42 304 148
43 935 188
44 48 929
45 1790 1668
46 408 53
47 1387 1453
48 293 755
49 1628 572
50 1594 1183
51 905 848
52 1616 561
53 1651 779
54 1870 777
55 416 518
56 403 116
57 428 308
58 1337 897
59 1876 1098
60 1103 1208
61 903 1417
62 945 1313
63 526 1614
64 1279 693
65 1519 1239
66 375 329
67 171 365
68 968 942
69 321 1607
70 551 910
71 1575 1811
72 1010 1634
73 1830 982
74 919 1419
75 165 1668
76 1653 1341
77 958 515
78 1342 483
79 879 709
80 899 80
81 1225 1620
82 1856 362
83 717 1244
84 1296 1488
85 1240 688
86 1436 430
87 1124 101
88 85 274
89 908 564
90 913 554
91 558 1469
92 1682 1416
93 500 1435
94 484 284
95 1858 1111
96 891 1280
97 1845 1599
98 1323 1552
99 432 1070
100 1668 1823
101 1111 1004
102 1877 334
103 1046 155
104 1604 1110
105 53 75
106 1367 1298
107 1590 492
108 616 1868
109 39 1365
110 1108 1292
111 1711 534
112 1799 765
113 1391 1469
114 1690 1452
115 1027 329
116 1235 1349
117 1110 893
118 1821 796
119 249 832
120 1428 186
121 1093 948
122 1783 771
123 1886 1632
124 471 1044
125 185 1044
126 373 1342
127 639 869
128 470 431
129 1727 21
130 937 500
131 1796 542
132 1118 1750
133 1871 970
134 35 1094
135 1505 1388
136 1168 219
137 899 1859
138 1093 1502
139 134 1872
140 839 185
141 961 985
142 1817 541
143 1462 1879
144 1391 1290
145 402 849
146 229 175
147 207 1101
148 1884 46
149 965 1621
150 410 910
151 93 838
152 628 538
153 839 1231
154 217 1369
155 142 485
156 116 1562
157 1241 810
158 850 673
159 138 1195
160 935 376
161 72 372
162 851 1701
163 1376 522
164 1037 1233
165 432 475
166 600 945
167 215 487
168 1585 253
169 463 427
170 780 1820
171 136 921
172 1840 281
173 585 1187
174 537 101
175 1503 14
176 610 123
177 965 1090
178 1628 1057
179 1033 881
180 1813 1863
181 521 1856
182 881 411
183 1081 760
184 201 753
185 652 1808
186 1337 265
187 1571 81
188 1406 1287
189 546 1285
190 869 1395
191 1695 1796
192 710 1492
193 856 1472
194 1456 249
195 51 1488
196 1882 795
197 1536 1664
198 962 793
199 1375 1230
200 947 16
201 496 1225
202 1763 1440
203 299 321
204 1239 468
205 838 654
206 18 560
207 1307 310
208 381 777
209 126 1648
210 1215 1074
211 621 1414
212 223 395
213 735 1213
214 6 837
215 1734 590
216 762 854
217 1027 1198
218 776 1035
219 1706 593
220 64 1664
221 636 509
222 1283 948
223 1020 450
224 1354 976
225 1735 1519
226 1856 36
227 1241 764
228 954 945
229 487 977
230 1027 1560
231 995 1099
232 1752 163
233 234 238
234 944 1428
235 1181 880
236 1083 933
237 470 559
238 1109 624
239 967 564
240 387 1081
241 569 98
242 4 1606
243 1111 657
244 715 1201
245 708 1817
246 1464 1852
247 586 1608
248 408 901
249 578 409
250 1764 984
251 1121 1545
252 20 1647
253 1556 924
254 1682 1199
255 1368 645
256 1266 456
257 378 587
258 554 1184
259 157 719
260 1874 953
261 137 1198
262 76 373
263 1385 730
264 227 1386
265 815 1021
266 1549 335
267 210 1478
268 242 10
269 1409 836
270 1503 1520
271 1231 1728
272 913 767
273 594 288
274 270 1521
275 258 973
276 598 380
277 758 139
278 749 578
